frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,time
121,1.0,[243.9445094993663 136.7559928974444 511.2557811670607 375.57988393896557],[339.53277587890625 307.9960632324219 437.59295654296875 345.0581970214844],0.6815226674079895,JH10CG1380,0.8129511109365976,08-02-2024 18-43-09
121,1.0,[243.9445094993663 136.7559928974444 511.2557811670607 375.57988393896557],[339.53277587890625 307.9960632324219 437.59295654296875 345.0581970214844],0.6815226674079895,JH10CG1380,0.8129511109365976,08-02-2024 20-13-02
135,1.0,[27.36194950002826 141.98946133252562 482.70030701551775 466.27947750154965],[134.90884399414062 314.8594665527344 261.55572509765625 362.1742248535156],0.6970282196998596,HR26EJ8271,0.9532894342709112,25-04-2024 13-22-40
0,2.0,[607.43505859375 195.86856079101562 1028.3914794921875 425.3439636230469],[851.0874633789062 326.87548828125 951.7432250976562 372.945068359375],0.6330329179763794,HR29AL0002,0.4241392720820201,25-04-2024 13-21-44
16,5.0,[602.2982297195776 192.000124387444 1028.8447442071015 433.19358680686673],[838.77392578125 330.90380859375 948.36376953125 379.4378662109375],0.6589864492416382,HR29AL0002,0.332957590326519,25-04-2024 13-21-51
74,10.0,[635.156075269009 195.47301063127122 1181.8758889317155 491.0766119830097],[934.6771240234375 377.140380859375 1074.8670654296875 440.689208984375],0.7197102904319763,HR29AL0002,0.7749080016549564,25-04-2024 13-22-13
107,12.0,[644.5889695759134 166.1026962911696 1158.301936785616 435.67471638747344],[940.59521484375 328.10723876953125 1063.3109130859375 384.30584716796875],0.7072036266326904,HR29AL0002,0.7315837562004784,25-04-2024 13-22-28
253,20.0,[2.287125511762355 259.9418483886185 415.0811482207748 588.5024854936834],[40.41693115234375 438.3778076171875 182.68402099609375 492.46368408203125],0.6958599090576172,HR26EJ8271,0.9630480676358713,25-04-2024 13-23-32
281,32.0,[617.536827282984 275.86951617423705 1090.7134408739512 538.0090570727511],[893.29638671875 426.12677001953125 1009.828369140625 480.52191162109375],0.661687970161438,HR29AL0002,0.1813328236158787,25-04-2024 13-23-42
294,34.0,[638.5742840660236 258.42965256314113 1132.152908128001 524.8453584780136],[929.4849853515625 412.7895812988281 1047.5843505859375 466.0685119628906],0.6567053198814392,HR29AL0002,0.4398326791989674,25-04-2024 13-23-48
300,35.0,[635.5664136011568 250.33771273660494 1131.1596251225665 515.0283197728188],[930.0216064453125 403.3931884765625 1047.218505859375 455.19390869140625],0.6631444692611694,HR29AL0602,0.3751868865634934,25-04-2024 13-23-51
