frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,time
121,1,[243.9445094993663 136.7559928974444 511.2557811670607 375.57988393896557],[339.53277587890625 307.9960632324219 437.59295654296875 345.0581970214844],0.681522667,JH10CG1380,0.812951111,08-02-2024 18-43-09
121,1,[243.9445094993663 136.7559928974444 511.2557811670607 375.57988393896557],[339.53277587890625 307.9960632324219 437.59295654296875 345.0581970214844],0.681522667,JH10CG1380,0.812951111,08-02-2024 20-13-02
135,1,[27.36194950002826 141.98946133252562 482.70030701551775 466.27947750154965],[134.90884399414062 314.8594665527344 261.55572509765625 362.1742248535156],0.69702822,HR26EJ8271,0.953289434,25-04-2024 13-22-40
0,2,[607.43505859375 195.86856079101562 1028.3914794921875 425.3439636230469],[851.0874633789062 326.87548828125 951.7432250976562 372.945068359375],0.633032918,HR29AL0002,0.424139272,25-04-2024 13-21-44
16,5,[602.2982297195776 192.000124387444 1028.8447442071015 433.19358680686673],[838.77392578125 330.90380859375 948.36376953125 379.4378662109375],0.658986449,HR29AL0002,0.33295759,25-04-2024 13-21-51
74,10,[635.156075269009 195.47301063127122 1181.8758889317155 491.0766119830097],[934.6771240234375 377.140380859375 1074.8670654296875 440.689208984375],0.71971029,HR29AL0002,0.774908002,25-04-2024 13-22-13
107,12,[644.5889695759134 166.1026962911696 1158.301936785616 435.67471638747344],[940.59521484375 328.10723876953125 1063.3109130859375 384.30584716796875],0.707203627,HR29AL0002,0.731583756,25-04-2024 13-22-28
253,20,[2.287125511762355 259.9418483886185 415.0811482207748 588.5024854936834],[40.41693115234375 438.3778076171875 182.68402099609375 492.46368408203125],0.695859909,HR26EJ8271,0.963048068,25-04-2024 13-23-32
281,32,[617.536827282984 275.86951617423705 1090.7134408739512 538.0090570727511],[893.29638671875 426.12677001953125 1009.828369140625 480.52191162109375],0.66168797,HR29AL0002,0.181332824,25-04-2024 13-23-42
294,34,[638.5742840660236 258.42965256314113 1132.152908128001 524.8453584780136],[929.4849853515625 412.7895812988281 1047.5843505859375 466.0685119628906],0.65670532,HR29AL0002,0.439832679,25-04-2024 13-23-48
300,35,[635.5664136011568 250.33771273660494 1131.1596251225665 515.0283197728188],[930.0216064453125 403.3931884765625 1047.218505859375 455.19390869140625],0.663144469,HR29AL0602,0.375186887,25-04-2024 13-23-51
2,2,[160.6443089108402 245.92112883673636 580.714556249157 547.4300241537904],[245.45724487304688 485.447265625 348.9480895996094 532.502685546875],0.718277872,MH09EU7999,0.432489105,25-04-2024 22-30-20
2,2.0,[160.6443089108402 245.92112883673636 580.714556249157 547.4300241537904],[245.45724487304688 485.447265625 348.9480895996094 532.502685546875],0.7182778716087341,MH09EU7999,0.4324891047947673,25-04-2024 22-41-17
2,2.0,[160.6443089108402 245.92112883673636 580.714556249157 547.4300241537904],[245.45724487304688 485.447265625 348.9480895996094 532.502685546875],0.7182778716087341,MH09EU7999,0.4324891047947673,25-04-2024 22-41-17
109,1.0,[324.9490112308628 882.9721521166045 559.1861052475696 1075.6745979123386],[408.52685546875 996.2486572265625 478.7900390625 1025.3048095703125],0.6104102730751038,MH01OI2228,0.1919413468374493,25-04-2024 22-47-20
124,2.0,[355.7135017066062 132.1648112434168 593.7883605253159 324.46875517536967],[437.721923828125 246.71780395507812 507.7896728515625 276.7709655761719],0.6235737800598145,TN87C5454,0.3311607267000416,25-04-2024 22-47-26
106,6.0,[331.0340252397521 499.1515561755915 567.9069427840247 685.8891967631167],[421.50787353515625 610.01318359375 489.7808837890625 640.620361328125],0.6522345542907715,AA42AI7240,0.3289797674003561,25-04-2024 22-47-19
124,7.0,[318.7053321928041 485.59312759555246 595.9887105330196 697.856598269289],[436.40313720703125 613.8392333984375 515.1995239257812 646.973388671875],0.7067170739173889,FA42A2246,0.1124603674117644,25-04-2024 22-47-26
130,8.0,[318.7525934765356 480.60749209791936 612.8194789621979 702.9512896934394],[445.47662353515625 615.5763549804688 526.6810913085938 649.9033813476562],0.7097066640853882,FA42A1246,0.3338613962412024,25-04-2024 22-47-28
